description_cost,category,componentsubtype,componenttype,description_id,description_details,damage,damage2,heatgenerated,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,custom_bonusdescriptions
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LB2X,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_HMRM,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 3"",""HMRMAmmo: 120""]}"
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC5,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AC5Ammo: 20""]}"
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Flak_AC5,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracyUnit: VTOL"",""AccuracyUnit2: +4"",""Accuracy: -2"",""AC5Ammo: 20""]}"
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_FTL_LRM,"The Follow The Leader Warhead (FTL) was developed during the Star League era, this alternate munitio",,,,,,,,,,,,,,"{""Bonuses"":[""FTLLRM"",""ArtemisClustering: +50"",""MissileHP: 2"",""LRMAmmo: 120""]}"
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Deadfire_LRM_half,"Deadfire LRM's trade any advanced guidance system, reducing range and accuracy, for a bigger payload",,,,,,,,,,,,,,"{""Bonuses"":[""LRMDamage: +50%"",""StabDamage: +1"",""Range: -33%"",""MinRange: -90"",""WpnAccuracy: -2"",""MissileHP: 3"",""NoIndirect"",""Deadfire: 25%"",""LRMAmmo: 60""]}"
20000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AP_AC2,"Armour Piercing AC Ammo grants an increased chance for critical hits. Upon receiving a Critical Hit,",,,,,,,,,,,,,,"{""Bonuses"":[""TAC: +50%"",""Crits: +50%"",""ThroughArmorDamage: 5"",""ACDamage: -50%"",""WpnAccuracy: -1"",""AC2Ammo: 15""]}"
19800,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC10_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AC10Ammo: 5""]}"
18000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Deadfire_SRM_half,Deadfire Rockets are standard Short Range Missile bodies equipped with an upgraded high explosive pa,,,,,,,,,,,,,,"{""Bonuses"":[""SRMDamage: +50%"",""StabDamage: +2"",""Range: -30%"",""WpnAccuracy: -1"",""Deadfire: 25%"",""MissileHP: 4"",""SRMAmmo: 50""]}"
15000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_ProtoAC4,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""ProtoAC4Ammo: 20""]}"
13200,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC5_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AC5Ammo: 10""]}"
12000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_AC2_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LRAC2Ammo: 30""]}"
12000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC2_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""UAC2Ammo: 13""]}"
12000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_AC2_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""RAC2Ammo: 13""]}"
12000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LRM_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 2"",""LRMAmmo: 60""]}"
12000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_FTL_LRM_half,"The Follow The Leader Warhead (FTL) was developed during the Star League era, this alternate munitio",,,,,,,,,,,,,,"{""Bonuses"":[""FTLLRM"",""ArtemisClustering: +50"",""MissileHP: 2"",""LRMAmmo: 60""]}"
10000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_Flak_AC2,"Unable to recreate the standard FLAK round for the Light RAC System, NAIS Scientists took a cue from",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracyUnit: VTOL"",""AccuracyUnit2: +2"",""Accuracy: -1"",""AmmoDamage: -50%"",""AmmoProjectilesFired: +2"",""AmmoJAMFlat: 4%"",""LRAC2Ammo: 50""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tracer_MG,Tracer ammunition are slug-firing rounds to aid in the targeting of rapid-firing weapons. Inserted a,,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: +1"",""MGAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tracer_LMG,Tracer ammunition are slug-firing rounds to aid in the targeting of rapid-firing weapons. Inserted a,,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: +1"",""LMGAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tracer_HMG,Tracer ammunition are slug-firing rounds to aid in the targeting of rapid-firing weapons. Inserted a,,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: +1"",""HMGAmmo: 100""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Streak_MRM_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 3"",""STREAKMRMAmmo: 100""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Streak_MRM,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 3"",""STREAKMRMAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rifle_Light,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LightRifleAmmo: 18""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_MagPulse_SRM_half,Originally conceived as an electronics countermeasure attack against a targeted BattleMech's targeti,,,,,,,,,,,,,,"{""Bonuses"":[""EMPDEBUFF: 2"",""EMPHEAT: 2%"",""HeatDamage: +2"",""SRMDamage: -70%"",""MissileHP: 3"",""SRMAmmo: 50""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_MagPulse_SRM,Originally conceived as an electronics countermeasure attack against a targeted BattleMech's targeti,,,,,,,,,,,,,,"{""Bonuses"":[""EMPDEBUFF: 2"",""EMPHEAT: 2%"",""HeatDamage: +2"",""SRMDamage: -70%"",""MissileHP: 3"",""SRMAmmo: 100""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_Taser,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""TaserAmmo: 5""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_SRM,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 3"",""SRMAmmo: 100""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_ProtoAC2,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""ProtoAC2Ammo: 40""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_MRM,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 2"",""MRMAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_MG_20shot,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MGAmmo: 20""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_MG,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MGAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LMG,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LMGAmmo: 200""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_Harpoon,"A box of long metallic barbed Spikes, commonly known as a Harpoon. <b><color=#099ff2>Does not explod",,,,,,,,,,,,,,"{""Bonuses"":[""NoAA"",""HarpoonAmmo: 8""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_HMG,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""HMGAmmo: 100""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC2,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AC2Ammo: 30""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Fluid_Paint,"Pressurized Canister containing Magnetized Paint for the Fluid gun, impairing a Targets Vision and A",,,,,,,,,,,,,,"{""Bonuses"":[""Paint"",""FluidPaintAmmo: 10""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Fluid_Oil,"Pressurized Canister containing Oil for the Fluid gun, impairing a Targets Stability and Movement. O",,,,,,,,,,,,,,"{""Bonuses"":[""Oilslick: X2"",""ImpMove: 50%"",""StabDamage: 8"",""FluidOilAmmo: 8""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Fluid_Inferno,"Pressurized Canister containing Inferno for the Fluid gun, coating the Target in burning Chemicals. ",,,,,,,,,,,,,,"{""Bonuses"":[""Inferno: 15"",""AlwaysStartsFire"",""FluidInfernoAmmo: 8"",""VolatileAmmo""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Fluid_Acid,"Pressurized Canister containing Acid for the Fluid gun, weakening a targets Armor Drastically. On a ",,,,,,,,,,,,,,"{""Bonuses"":[""Acid: 30%"",""WeaponDamage: +6"",""ArmorDmgMod: +50%"",""StructureDmgMod: -50%"",""FluidAcidAmmo: 8""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Flak_AC2,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AccuracyUnit: VTOL"",""AccuracyUnit2: +4"",""Accuracy: -2"",""AC2Ammo: 30""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Chaff_LRM_half,"Based on one of the most Ancient Electronic Countermeasures, these rockets carry a payload of Chaff ",,,,,,,,,,,,,,"{""Bonuses"":[""Dueppel"",""ImpAccuracy: 1"",""ImpSight: -10%"",""ImpSensors: -40%"",""LRMDamage: -75%"",""MissileHP: 2"",""LRMAmmo: 60""]}"
10000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AntiMissile,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AMSAmmo: 200""]}"
6600,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC2_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AC2Ammo: 15""]}"
6600,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AntiMissile_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AMSAmmo: 100""]}"
6000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_SRM_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 3"",""SRMAmmo: 50""]}"
6000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_MRM_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MissileHP: 2"",""MRMAmmo: 100""]}"
6000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_MG_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""MGAmmo: 100""]}"
6000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LMG_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LMGAmmo: 100""]}"
6000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_HMG_half,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""HMGAmmo: 50""]}"
5000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rifle_Potatoe,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""PotRifleAmmo: 30""]}"
1000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LMG_30shot,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LMGAmmo: 30""]}"
1000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_LMG_10shot,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LMGAmmo: 10""]}"
500,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_SRM_5shot,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""SRMAmmo: 5""]}"
50,,Ammunition,AmmunitionBox,NoBox_Ammo_STREAK_Generic_Internal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBox_Ammo_ArrowIVOS,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ThunderboltOS,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_SRMInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_RocketSensors,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_RocketMine,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Rocket,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ProtoAC8,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ProtoAC4,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ProtoAC2,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_PODS,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Magshot,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_MG,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LRMInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX5IntSlug,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX5IntCluster,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX20IntSlug,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX20IntCluster,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX10IntSlug,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_LBX10IntCluster,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_IATM_Incen,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_IATM_HE,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_IATM_ER,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_IATM_EMP,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_IATM,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_ATM_HE,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_ATM_ER,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_Fusiliade_ATM,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ChemSmallInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ChemMediumInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_ChemLargeInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_BombMine,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_AMSInternal,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_AC5,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_AC20,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_AC2,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
50,,Ammunition,AmmunitionBox,NoBoxAmmo_AC10,THIS IS A FAILSAFE NOT TO BE USED OR SEEN,,,,,,,,,,,,,,"{""Bonuses"":[""FAILSAFEBOX""]}"
12300000,,Heatsink,HeatSink,emod_engineslots_cxxl_center,The Clan Extra-Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lig,,,,,,,,,,,,,,"{""Bonuses"":[""EngineWeight: -66%"",""EngineReserved: 8""]}"
12250000,,Heatsink,HeatSink,emod_Pirate_FuelCell,This was a Light Engine until someone ripped out the Fusion compartment and wired a Fuel Cell into i,,,,,,,,,,,,,,"{""Bonuses"":[""EngineWeight: X1.4"",""HeatGenerated: -80%""]}"
8666667,,Heatsink,HeatSink,emod_engine_500,"Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and ",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 10""]}"
6250000,,Heatsink,HeatSink,emod_engineslots_xxl_center,The Extra-Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lighter ,,,,,,,,,,,,,,"{""Bonuses"":[""EngineWeight: -66%"",""EngineReserved: 12""]}"
5666667,,Heatsink,HeatSink,emod_engine_425,"Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and ",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 7""]}"
5500000,,Heatsink,HeatSink,emod_engineslots_xl_proto,A StarLeague Era Prototype XL Engine that does not protrude into the side torsos but suffers increas,,,,,,,,,,,,,,"{""Bonuses"":[""EngineWeight: -50%"",""HeatGenerated: +20%"",""HeatPerTurn: +10"",""EngineReserved: 4""]}"
5320000,,Heatsink,HeatSink,Kit_pdhs_Pirate,"Converts an SHS engine to PDHS. <b>PDHS Cooling System</b>.  The Radical Heat Sink System, increases",,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemProtoDHS"",""TEHeatgen: -20%"",""HeatPerTurn: -10"",""ActivateHeatLevel: 80%"",""DeActivateHeatLevel: 20%"",""ActiveHeatPerTurn: -30"",""ActiveTEHeatgen: -20%"",""FailChance: 10%"",""FailChanceTurn: 20%"",""FailCritSelf"",""CPBoom: 100""]}"
4600000,,Heatsink,HeatSink,emod_kit_dhs_proto,Converts an SHS engine to use Prototype Double Heatsinks. Treating the Engines <b>Cooling System</b>,,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemProtoDHS"",""TEHeatgen: -30%"",""BankBoom: 40""]}"
4600000,,Heatsink,HeatSink,compact_kit_dhs_proto,Being unable to efficiently extend the PDHS effects to the entire Engine Block have Luthien Engineer,,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemProtoDHS"",""HeatPerTurn: -12"",""TEHeatgen: -30%"",""BankBoom: 40""]}"
4500000,,Heatsink,HeatSink,emod_engineslots_cxl_center,The Extralight Fusion Engine is mechanically similar to a Fusion Engine but uses much lighter radiat,,,,,,,,,,,,,,"{""Bonuses"":[""EngineWeight: -50%"",""EngineReserved: 4""]}"
3500000,,Heatsink,HeatSink,emod_kit_lhs,Converts an SHS engine to LHS. A Mech' <b>Cooling System</b> provides heat dissipation for component,,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemLHS"",""Signature: +40%"",""EndMoveHeat: -60""]}"
3500000,,Heatsink,HeatSink,emod_kit_dhs_royal,A SLDF Era Royal Double Heat Sink Kit provides superior cooling capabilities.,,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemDHS"",""TEHeatgen: -8%"",""HeatPerTurn: -6""]}"
3500000,,Heatsink,HeatSink,emod_kit_cdhs,Converts an SHS engine to CDHS. A Mech' <b>Cooling System</b> provides heat dissipation for componen,,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemCDHS""]}"
3000000,,Heatsink,HeatSink,supercharged_xl_engine,"This Prototype Extra Light Fusion Engine was modified to include a Super Charger, able to accelerate",,,,,,,,,,,,,,"{""Bonuses"":[""Activatable"",""ActiveRunMod: +100%"",""FailChance: 30%"",""FailChanceTurn: 20%"",""FailCritSelf"",""FailReducPilot"",""EngineWeight: -40%"",""EngineReserved: 6""]}"
3000000,,Heatsink,HeatSink,lootable_kit_dhs_RISC,"Converts an SHS engine to DHS. A Mech' <b>Cooling System</b>.  The Radical Heat Sink System, increas",,,,,,,,,,,,,,"{""Bonuses"":[""CoolingSystemDHS"",""ActivateHeatLevel: 90%"",""DeActivateHeatLevel: 30%"",""ActiveHeatPerTurn: -20"",""FailChance: 5%"",""FailChanceTurn: 10%"",""FailCritSelf"",""CPBoom: 10""]}"
3000000,,Heatsink,HeatSink,Quirk_300_Compact_Engine,"A experimental Engine stemming from research into XL and Compact Engines, while it failed to ultimat",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 2"",""EngineReserved: 4""]}"
2666667,,Heatsink,HeatSink,emod_engine_420,"Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and ",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 7""]}"
2666667,,Heatsink,HeatSink,emod_engine_415,"Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and ",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 7""]}"
2666667,,Heatsink,HeatSink,emod_engine_410,"Fusion engines function by harnessing the power of a fusion reaction, running on light hydrogen and ",,,,,,,,,,,,,,"{""Bonuses"":[""EngineHSCap: 7""]}"
